"Delimiter = ;"
AethLabs
Device ID = AE51-S4-692-1303
Application version = 2.2.4.0
Flow = 198 ml/min
Timebase = 300 s
Start date = 2023/07/26
Start time = 07:20:00
Original date format = yyyy/MM/dd
Original time format = hh:mm:ss
Flow units = ml/min
PCB temp units = deg C
Battery units = %
BC units = ng/m^3

Date;Time;Ref;Sen;ATN;Flow;PCB temp;Status;Battery;BC

2023/07/26;07:20:00;925822;789789;15.892;199;4;0;97;
2023/07/26;07:25:00;926463;764363;19.233;198;3;0;99;19172
2023/07/26;07:30:00;926801;737872;22.797;199;2;0;98;20344
2023/07/26;07:35:00;927010;721433;25.072;199;2;0;97;12991
2023/07/26;07:40:00;927105;709658;26.728;200;1;0;94;9405
2023/07/26;07:45:00;927336;697536;28.476;199;1;0;93;9977
2023/07/26;07:50:00;927358;688400;29.797;199;1;0;94;7540
2023/07/26;07:55:00;927389;678329;31.274;199;1;0;93;8432
2023/07/26;08:00:00;927286;655746;34.649;198;1;0;92;19362
2023/07/26;08:05:00;927274;639260;37.194;199;1;0;94;14528
2023/07/26;08:10:00;927005;622655;39.797;199;3;0;93;14858
2023/07/26;08:15:00;925613;606665;42.248;199;5;0;92;13993
2023/07/26;08:20:00;923967;596528;43.755;199;7;0;93;8603
2023/07/26;08:25:00;922415;588431;44.954;198;8;0;92;6876
2023/07/26;08:30:00;920968;581693;45.948;199;10;0;89;5678
2023/07/26;08:35:00;919519;576818;46.632;199;11;0;88;3905
2023/07/26;08:40:00;918236;572737;47.203;199;12;0;87;3256
2023/07/26;08:45:00;917105;569942;47.569;199;13;0;88;2089
2023/07/26;09:15:00;931461;563445;50.268;199;12;0;88;8680
2023/07/26;09:20:00;931618;557146;51.410;199;12;0;87;6514
2023/07/26;09:25:00;931710;551490;52.440;199;12;0;88;5881
2023/07/26;09:30:00;931740;546342;53.381;199;12;0;87;5372
2023/07/26;09:35:00;931625;541513;54.256;199;12;0;84;4998
2023/07/26;09:40:00;931404;536946;55.080;198;12;0;83;4723
