NOAA/GMD balloon flight data file

SkySonde Client Version:, 1.1.1.8
Balloon Flight Name:, es202
Attached Instruments:, Radiosonde
Station Name:, esc
Station Latitude:, -16.62305
Station Longitude:, -68.12965
Station Altitude:, 4025.00 [m]
Station Pressure:, 646.38 [mb]
Station Temperature:, 10.000 [deg C]
Station Humidity:, 35.320 [% RH]
Radiosonde Serial Number / ID:, 44579
Pressure/Altitude Source:, iMet Radiosonde
Solar Radiation Correction:, Yes

date [d-m-y GMT], time [h:m:s GMT], milliseconds, seconds since midnight [GMT], elapsed minutes, altitude (from iMet PTU) [km], iMet pressure [mb], iMet air temperature (corrected) [deg C], iMet air temperature (raw) [deg C], iMet humidity [RH %], iMet frostpoint [deg C], iMet internal temperature [deg C], iMet battery voltage [V], iMet theta [K], iMet temperature (of pressure sensor) [deg C], iMet temperature (of humidity sensor) [deg C], iMet ascent rate [m/s], iMet water vapor mixing ratio [ppmv], iMet total column water [mm], GPS latitude, GPS longitude, GPS altitude [km], GPS num satellites, GPS pressure [mb], GPS wind speed [m/s], GPS wind direction [deg], GPS ascent rate [m/s], GPS(X) east velocity [m/s], GPS(X) north velocity [m/s], GPS(X) up velocity [m/s], GPS time [h:m:s GMT], GPS heading from launch [deg], GPS elevation angle from launch [deg], GPS distance from launch [km], predicted landing latitude, predicted landing longitude, predicted time to landing [min]
26-07-2023, 18:53:30, 509, 68010.509, 0.04533, 4.0250, 607.80, 1.51, 1.69, 21.09, -16.54, 10.26, 5.6, 316.693, 10.79, 1.69, 0.00, 2370.55, 0.000, -16.39704, -68.10424, 4.2850, 8, 0.00, 0.00, 0.00, 2.02, 0.00, 0.00, 0.00, 10:53:57, 0.0, 0.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 18:53:31, 469, 68011.469, 0.06133, 4.0246, 607.83, 1.37, 1.55, 20.99, -16.70, 10.27, 5.6, 316.527, 10.80, 1.55, -0.41, 2335.52, 0.000, -16.39705, -68.10423, 4.0250, 8, 646.38, 0.00, 0.00, -129.00, 0.00, 0.00, 0.00, 10:53:58, 0.0, 0.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 18:53:32, 519, 68012.519, 0.07883, 4.0243, 607.85, 1.26, 1.44, 21.02, -16.76, 10.27, 5.6, 316.397, 10.81, 1.44, -0.33, 2320.33, 0.000, -16.39705, -68.10423, 4.2860, 8, 625.74, 0.00, 0.00, 0.99, 0.00, 0.00, 0.00, 10:53:59, 0.0, 0.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 18:53:33, 519, 68013.519, 0.09550, 4.0246, 607.83, 1.15, 1.33, 20.92, -16.90, 10.29, 5.6, 316.273, 10.82, 1.33, -0.13, 2291.11, 0.000, -16.39704, -68.10423, 4.2860, 8, 625.74, 0.00, 0.00, 0.75, 0.00, 0.00, 0.00, 10:54:00, 0.0, 0.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 18:53:34, 509, 68014.509, 0.11200, 4.0249, 607.81, 1.12, 1.30, 20.89, -16.94, 10.30, 5.6, 316.242, 10.82, 1.30, -0.03, 2282.94, 0.000, -16.39704, -68.10423, 4.2860, 8, 625.74, 0.00, 0.00, 0.60, 0.00, 0.00, 0.00, 10:54:01, 0.0, 0.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 18:53:35, 519, 68015.519, 0.12883, 4.0247, 607.82, 1.06, 1.24, 21.06, -16.90, 10.31, 5.6, 316.171, 10.83, 1.24, -0.05, 2291.58, 0.000, -16.39704, -68.10422, 4.2860, 8, 625.74, 0.00, 0.00, 0.50, 0.00, 0.00, 0.00, 10:54:02, 0.0, 0.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 18:53:36, 509, 68016.509, 0.14533, 4.0246, 607.83, 1.05, 1.23, 21.36, -16.75, 10.31, 5.6, 316.158, 10.84, 1.23, -0.07, 2322.59, 0.000, -16.39704, -68.10422, 4.2860, 8, 625.74, 0.00, 0.00, 0.43, 0.00, 0.00, 0.00, 10:54:03, 0.0, 0.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 18:53:37, 509, 68017.509, 0.16200, 4.0251, 607.79, 1.13, 1.31, 21.24, -16.75, 10.33, 5.6, 316.256, 10.85, 1.31, 0.02, 2323.03, 0.000, -16.39704, -68.10423, 4.2860, 8, 625.74, 0.00, 0.00, 0.38, 0.00, 0.00, 0.00, 10:54:04, 0.0, 0.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 18:53:38, 479, 68018.479, 0.17817, 4.0251, 607.79, 1.33, 1.51, 21.15, -16.64, 10.34, 5.6, 316.487, 10.86, 1.51, 0.02, 2346.76, 0.000, -16.39705, -68.10422, 4.2870, 8, 625.67, 0.34, 297.53, 0.44, 0.00, 0.00, 0.00, 10:54:05, 6.2, 9.6, 25.28, 0.00000, 0.00000, 0.000
26-07-2023, 18:53:39, 419, 68019.419, 0.19383, 4.0254, 607.77, 1.52, 1.70, 21.22, -16.46, 10.34, 5.6, 316.709, 10.86, 1.70, 0.04, 2387.04, 0.000, -16.39705, -68.10422, 4.2870, 8, 625.67, 0.24, 303.08, 0.40, 0.00, 0.00, 0.00, 10:54:06, 6.2, 9.6, 25.28, 0.00000, 0.00000, 0.000
26-07-2023, 18:53:40, 419, 68020.419, 0.21050, 4.0251, 607.79, 1.63, 1.81, 21.22, -16.38, 10.36, 5.6, 316.833, 10.88, 1.81, 0.01, 2405.91, 0.000, -16.39706, -68.10421, 4.2870, 7, 625.67, 0.35, 297.53, 0.36, 0.00, 0.00, 0.00, 10:54:07, 6.2, 9.6, 25.28, 0.00000, 0.00000, 0.000
26-07-2023, 18:53:41, 419, 68021.419, 0.22717, 4.0249, 607.81, 1.78, 1.96, 21.05, -16.35, 10.36, 5.6, 317.003, 10.89, 1.96, -0.01, 2412.36, 0.000, -16.39705, -68.10421, 4.2870, 7, 625.67, 0.23, 297.53, 0.33, 0.00, 0.00, 0.00, 10:54:08, 6.2, 9.6, 25.28, 0.00000, 0.00000, 0.000
26-07-2023, 18:53:42, 419, 68022.419, 0.24383, 4.0247, 607.82, 1.79, 1.97, 20.91, -16.41, 10.38, 5.6, 317.013, 10.90, 1.97, -0.02, 2397.96, 0.000, -16.39705, -68.10421, 4.2860, 7, 625.74, 0.22, 291.35, 0.23, 0.00, 0.00, 0.00, 10:54:09, 6.2, 9.6, 25.28, 0.00000, 0.00000, 0.000
26-07-2023, 18:53:43, 479, 68023.479, 0.26150, 4.0242, 607.86, 1.86, 2.04, 20.99, -16.32, 10.39, 5.6, 317.087, 10.90, 2.04, -0.06, 2419.11, 0.000, -16.39705, -68.10421, 4.2860, 7, 625.74, 0.13, 308.02, 0.21, 0.00, 0.00, 0.00, 10:54:10, 6.2, 9.6, 25.28, 0.00000, 0.00000, 0.000
26-07-2023, 18:53:44, 419, 68024.419, 0.27717, 4.0243, 607.85, 1.86, 2.04, 20.99, -16.32, 10.40, 5.6, 317.089, 10.91, 2.04, -0.05, 2419.16, 0.000, -16.39705, -68.10420, 4.2860, 7, 625.74, 0.22, 291.35, 0.20, 0.00, 0.00, 0.00, 10:54:11, 6.2, 9.6, 25.28, 0.00000, 0.00000, 0.000
26-07-2023, 18:53:45, 419, 68025.419, 0.29383, 4.0237, 607.90, 1.67, 1.85, 21.05, -16.43, 10.40, 5.6, 316.862, 10.92, 1.85, -0.09, 2393.03, 0.000, -16.39705, -68.10420, 4.2860, 7, 625.74, 0.31, 279.86, 0.19, 0.00, 0.00, 0.00, 10:54:12, 6.2, 9.6, 25.28, 0.00000, 0.00000, 0.000
26-07-2023, 18:53:46, 429, 68026.429, 0.31067, 4.0229, 607.96, 1.64, 1.82, 21.16, -16.40, 10.42, 5.6, 316.819, 10.93, 1.82, -0.13, 2400.15, 0.000, -16.39704, -68.10421, 4.2860, 7, 625.74, 0.15, 223.81, 0.18, 0.00, 0.00, 0.00, 10:54:13, 6.2, 9.6, 25.28, 0.00000, 0.00000, 0.000
26-07-2023, 18:53:47, 429, 68027.429, 0.32733, 4.0230, 607.95, 1.54, 1.72, 20.97, -16.57, 10.43, 5.6, 316.705, 10.94, 1.72, -0.12, 2361.56, 0.000, -16.39704, -68.10421, 4.2860, 7, 625.74, 0.23, 205.63, 0.17, 0.00, 0.00, 0.00, 10:54:14, 6.2, 9.6, 25.28, 0.00000, 0.00000, 0.000
26-07-2023, 18:53:48, 439, 68028.439, 0.34417, 4.0231, 607.94, 1.47, 1.65, 21.06, -16.58, 10.43, 5.6, 316.626, 10.95, 1.65, -0.10, 2359.85, 0.000, -16.39704, -68.10421, 4.2860, 7, 625.74, 0.19, 180.00, 0.16, 0.00, 0.00, 0.00, 10:54:15, 6.2, 9.6, 25.28, 0.00000, 0.00000, 0.000
26-07-2023, 18:57:13, 351, 68233.351, 0.03367, 4.2860, 607.84, 1.25, 1.44, 21.57, -16.49, 12.26, 5.5, 316.391, 12.64, 1.44, 0.00, 2380.05, 0.000, -16.39701, -68.10421, 4.2900, 8, 0.00, 0.00, 0.00, 0.99, 0.00, 0.00, 0.00, 10:57:40, 0.0, 0.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 18:57:14, 341, 68234.341, 0.05017, 4.2853, 607.89, 1.30, 1.49, 22.08, -16.20, 12.27, 5.5, 316.441, 12.64, 1.49, -0.67, 2445.05, 0.000, -16.39701, -68.10420, 4.2860, 8, 625.74, 0.00, 0.00, -1.50, 0.00, 0.00, 0.00, 10:57:41, 0.0, 0.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 18:57:15, 351, 68235.351, 0.06700, 4.2856, 607.87, 1.32, 1.51, 21.67, -16.39, 12.28, 5.5, 316.467, 12.65, 1.51, -0.20, 2403.08, 0.000, -16.39702, -68.10418, 4.2900, 8, 625.43, 0.00, 0.00, 0.34, 0.00, 0.00, 0.00, 10:57:42, 0.0, 0.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 18:57:16, 321, 68236.321, 0.08317, 4.2856, 607.87, 1.31, 1.50, 21.45, -16.51, 12.29, 5.5, 316.455, 12.66, 1.50, -0.13, 2376.91, 0.000, -16.39702, -68.10417, 4.2890, 8, 625.51, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 10:57:43, 0.0, 0.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 18:57:17, 341, 68237.341, 0.10017, 4.2855, 607.88, 1.41, 1.60, 21.61, -16.35, 12.30, 5.5, 316.569, 12.66, 1.60, -0.13, 2411.95, 0.000, -16.39702, -68.10416, 4.2900, 8, 625.43, 0.00, 0.00, 0.20, 0.00, 0.00, 0.00, 10:57:44, 0.0, 0.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 18:57:18, 301, 68238.301, 0.11617, 4.2857, 607.86, 1.60, 1.79, 21.44, -16.29, 12.30, 5.5, 316.791, 12.67, 1.79, -0.05, 2425.94, 0.000, -16.39702, -68.10416, 4.2890, 8, 625.51, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 10:57:45, 0.0, 0.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 18:57:19, 351, 68239.351, 0.13367, 4.2853, 607.89, 1.90, 2.09, 21.37, -16.09, 12.32, 5.5, 317.133, 12.68, 2.09, -0.11, 2470.52, 0.000, -16.39702, -68.10416, 4.2890, 8, 625.51, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 10:57:46, 0.0, 0.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 18:57:20, 321, 68240.321, 0.14983, 4.2856, 607.87, 2.11, 2.30, 21.83, -15.70, 12.32, 5.5, 317.378, 12.69, 2.30, -0.06, 2562.18, 0.000, -16.39702, -68.10417, 4.2890, 8, 625.51, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 10:57:47, 0.0, 0.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 18:57:21, 321, 68241.321, 0.16650, 4.2859, 607.85, 2.17, 2.36, 22.48, -15.34, 12.33, 5.5, 317.450, 12.69, 2.36, -0.02, 2650.11, 0.000, -16.39701, -68.10417, 4.2880, 8, 625.58, 0.51, 275.95, -0.11, 0.00, 0.00, 0.00, 10:57:48, 44.5, 89.9, 0.01, 0.00000, 0.00000, 0.000
