NOAA/GMD balloon flight data file

SkySonde Client Version:, 1.1.1.8
Balloon Flight Name:, flp02
Attached Instruments:, Radiosonde
Station Name:, FabricaForno
Station Latitude:, -16.48428
Station Longitude:, -68.14620
Station Altitude:, 3736.00 [m]
Station Pressure:, 645.43 [mb]
Station Temperature:, 2.500 [deg C]
Station Humidity:, 29.590 [% RH]
Radiosonde Serial Number / ID:, 44591
Pressure/Altitude Source:, iMet Radiosonde
Solar Radiation Correction:, Yes

date [d-m-y GMT], time [h:m:s GMT], milliseconds, seconds since midnight [GMT], elapsed minutes, altitude (from iMet PTU) [km], iMet pressure [mb], iMet air temperature (corrected) [deg C], iMet air temperature (raw) [deg C], iMet humidity [RH %], iMet frostpoint [deg C], iMet internal temperature [deg C], iMet battery voltage [V], iMet theta [K], iMet temperature (of pressure sensor) [deg C], iMet temperature (of humidity sensor) [deg C], iMet ascent rate [m/s], iMet water vapor mixing ratio [ppmv], iMet total column water [mm], GPS latitude, GPS longitude, GPS altitude [km], GPS num satellites, GPS pressure [mb], GPS wind speed [m/s], GPS wind direction [deg], GPS ascent rate [m/s], GPS(X) east velocity [m/s], GPS(X) north velocity [m/s], GPS(X) up velocity [m/s], GPS time [h:m:s GMT], GPS heading from launch [deg], GPS elevation angle from launch [deg], GPS distance from launch [km], predicted landing latitude, predicted landing longitude, predicted time to landing [min]
26-07-2023, 07:02:12, 712, 25332.712, 0.04533, 3.7360, 651.05, 2.51, 2.51, 27.90, -12.71, 21.63, 5.2, 311.659, 21.42, 2.51, 0.00, 3147.22, 0.000, -16.48428, -68.14619, 3.7390, 10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 11:02:58, 0.0, 0.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:02:13, 702, 25333.702, 0.06183, 3.7360, 651.05, 2.53, 2.53, 27.87, -12.70, 21.63, 5.2, 311.682, 21.43, 2.53, 0.00, 3148.32, 0.000, -16.48428, -68.14619, 3.7360, 10, 645.43, 0.00, 0.00, -1.48, 0.00, 0.00, 0.00, 11:02:59, 0.0, 0.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:02:14, 692, 25334.692, 0.07833, 3.7362, 651.03, 2.61, 2.61, 28.31, -12.47, 21.63, 5.2, 311.775, 21.43, 2.61, 0.13, 3216.59, 0.000, -16.48428, -68.14619, 3.7380, 10, 645.27, 0.00, 0.00, -0.33, 0.00, 0.00, 0.00, 11:03:00, 0.0, 0.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:02:15, 672, 25335.672, 0.09467, 3.7364, 651.02, 2.66, 2.66, 27.92, -12.58, 21.65, 5.2, 311.833, 21.43, 2.66, 0.13, 3183.52, 0.000, -16.48428, -68.14619, 3.7380, 10, 645.27, 0.00, 0.00, -0.25, 0.00, 0.00, 0.00, 11:03:01, 0.0, 0.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:02:16, 702, 25336.702, 0.11183, 3.7361, 651.04, 2.69, 2.69, 27.81, -12.60, 21.64, 5.2, 311.864, 21.44, 2.69, 0.03, 3177.63, 0.000, -16.48428, -68.14619, 3.7380, 10, 645.27, 0.00, 0.00, -0.20, 0.00, 0.00, 0.00, 11:03:02, 0.0, 0.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:02:17, 702, 25337.702, 0.12850, 3.7366, 651.00, 2.73, 2.73, 27.89, -12.54, 21.65, 5.2, 311.915, 21.44, 2.73, 0.12, 3196.09, 0.000, -16.48428, -68.14619, 3.7380, 10, 645.27, 0.00, 0.00, -0.17, 0.00, 0.00, 0.00, 11:03:03, 0.0, 0.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:02:18, 692, 25338.692, 0.14500, 3.7362, 651.03, 2.76, 2.76, 27.84, -12.53, 21.66, 5.2, 311.945, 21.45, 2.76, 0.04, 3197.02, 0.000, -16.48428, -68.14619, 3.7380, 10, 645.27, 0.00, 0.00, -0.14, 0.00, 0.00, 0.00, 11:03:04, 0.0, 0.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:02:19, 742, 25339.742, 0.16250, 3.7361, 651.04, 2.85, 2.85, 27.64, -12.54, 21.66, 5.2, 312.045, 21.45, 2.85, 0.02, 3194.35, 0.000, -16.48428, -68.14619, 3.7380, 10, 645.27, 0.00, 0.00, -0.12, 0.00, 0.00, 0.00, 11:03:05, 0.0, 0.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:02:20, 742, 25340.742, 0.17917, 3.7361, 651.04, 2.97, 2.97, 27.58, -12.47, 21.66, 5.2, 312.181, 21.45, 2.97, 0.02, 3214.73, 0.000, -16.48428, -68.14619, 3.7370, 10, 645.35, 0.10, 104.61, -0.22, 0.00, 0.00, 0.00, 11:03:06, 51.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:02:25, 532, 25345.532, 0.25900, 3.7364, 651.02, 3.08, 3.08, 27.66, -12.35, 21.67, 5.2, 312.308, 21.46, 3.08, 0.03, 3249.49, 0.000, -16.48428, -68.14619, 3.7370, 10, 645.35, 0.10, 90.00, -0.20, 0.00, 0.00, 0.00, 11:03:07, 51.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
