"Delimiter = ;"
AethLabs
Device ID = AE51-S4-674-1303
Application version = 2.2.4.0
Flow = 198 ml/min
Timebase = 300 s
Start date = 2023/07/26
Start time = 07:15:00
Original date format = yyyy/MM/dd
Original time format = hh:mm:ss
Flow units = ml/min
PCB temp units = deg C
Battery units = %
BC units = ng/m^3

Date;Time;Ref;Sen;ATN;Flow;PCB temp;Status;Battery;BC

2023/07/26;07:15:00;920730;766315;18.357;198;9;0;93;
2023/07/26;07:20:00;921756;767155;18.359;198;8;0;92;10
2023/07/26;07:25:00;922406;766501;18.515;199;6;0;94;889
2023/07/26;07:30:00;923031;767064;18.509;198;5;0;93;-33
2023/07/26;07:35:00;923478;767441;18.509;198;4;0;92;-4
2023/07/26;07:40:00;923790;767789;18.497;198;3;0;94;-66
2023/07/26;07:45:00;924049;768027;18.494;198;2;0;93;-17
2023/07/26;07:50:00;924317;767354;18.611;199;2;0;92;666
2023/07/26;07:55:00;924571;764224;19.047;198;1;0;88;2503
2023/07/26;08:00:00;924580;763496;19.143;198;1;0;88;552
2023/07/26;08:05:00;924440;762396;19.272;199;2;0;87;737
2023/07/26;08:10:00;924129;761094;19.409;198;1;0;88;788
2023/07/26;08:15:00;924225;759937;19.572;198;1;0;87;932
2023/07/26;08:20:00;924236;758609;19.748;198;2;0;89;1010
2023/07/26;08:25:00;923450;757881;19.759;198;3;0;88;63
2023/07/26;08:30:00;922561;757224;19.749;198;4;0;87;-55
2023/07/26;08:35:00;921602;756444;19.748;198;7;0;89;-5
2023/07/26;08:40:00;919904;754950;19.762;199;11;0;88;76
2023/07/26;08:45:00;917998;753473;19.750;198;13;0;87;-66
2023/07/26;08:50:00;916718;752541;19.734;198;14;0;83;-90
2023/07/26;08:55:00;916095;751887;19.753;198;15;0;82;109
2023/07/26;09:00:00;915574;751208;19.787;198;17;0;82;192
2023/07/26;09:05:00;914669;750240;19.817;198;17;0;83;172
2023/07/26;09:10:00;914140;749378;19.874;198;18;0;82;328
2023/07/26;09:15:00;913899;748712;19.937;198;18;0;84;359
2023/07/26;09:20:00;913887;748196;20.004;198;18;0;83;388
2023/07/26;09:25:00;913799;747784;20.050;199;20;0;82;259
2023/07/26;09:30:00;913240;747024;20.090;198;21;0;83;232
2023/07/26;09:35:00;912728;746385;20.120;199;22;0;83;168
2023/07/26;09:40:00;912186;745652;20.158;199;22;0;82;222
2023/07/26;09:45:00;911941;745173;20.196;199;23;0;78;213
2023/07/26;09:50:00;911616;744697;20.224;198;23;0;77;162
2023/07/26;09:55:00;911273;744211;20.252;199;25;0;79;158
2023/07/26;10:00:00;910682;743437;20.291;198;25;0;78;225
2023/07/26;10:05:00;910420;742938;20.329;198;24;0;77;220
2023/07/26;10:10:00;910580;742462;20.411;198;23;0;78;469
2023/07/26;10:15:00;910397;742132;20.435;199;25;0;77;139
2023/07/26;10:20:00;909659;741236;20.475;199;25;0;76;227
2023/07/26;10:25:00;909796;741069;20.513;198;25;0;78;216
2023/07/26;10:30:00;909838;740803;20.553;198;23;0;77;232
2023/07/26;10:35:00;911248;740938;20.690;198;22;0;73;784
2023/07/26;10:40:00;911597;740842;20.741;198;22;0;73;294
2023/07/26;10:45:00;911267;740338;20.773;198;23;0;72;183
2023/07/26;10:50:00;910877;739901;20.789;198;22;0;73;93
2023/07/26;10:55:00;910946;739800;20.810;199;23;0;72;121
2023/07/26;11:00:00;910275;739330;20.800;199;23;0;71;-58
2023/07/26;11:05:00;910032;738851;20.838;198;22;0;73;219
2023/07/26;11:10:00;910788;738610;20.954;198;22;0;72;664
2023/07/26;11:15:00;911010;738331;21.016;198;22;0;73;357
2023/07/26;11:20:00;911097;738233;21.039;198;23;0;72;131
2023/07/26;11:25:00;910664;737763;21.055;198;22;0;71;93
2023/07/26;11:30:00;910895;737563;21.108;199;22;0;68;300
2023/07/26;11:35:00;910512;737171;21.119;198;23;0;67;64
2023/07/26;11:40:00;910668;736800;21.186;198;22;0;69;387
2023/07/26;11:45:00;910749;736414;21.247;198;23;0;68;352
2023/07/26;11:50:00;910543;735957;21.287;199;23;0;67;225
2023/07/26;11:55:00;910817;735803;21.338;198;22;0;68;293
2023/07/26;12:00:00;910910;735490;21.391;199;22;0;67;301
2023/07/26;12:05:00;910824;735272;21.411;198;24;0;66;116
2023/07/26;12:10:00;909784;734395;21.416;199;25;0;68;29
2023/07/26;12:15:00;909413;733887;21.444;199;25;0;67;162
2023/07/26;12:20:00;909385;733490;21.495;199;23;0;63;291
2023/07/26;12:25:00;910290;733752;21.559;198;24;0;62;366
2023/07/26;12:30:00;909869;733268;21.579;198;24;0;61;113
2023/07/26;12:35:00;909548;732966;21.585;198;25;0;63;34
2023/07/26;12:40:00;909634;732864;21.608;198;24;0;62;134
2023/07/26;12:45:00;909481;732617;21.625;198;26;0;63;97
2023/07/26;12:50:00;908781;731926;21.642;198;25;0;62;100
2023/07/26;12:55:00;909814;732230;21.715;198;24;0;61;414
2023/07/26;13:00:00;910656;732468;21.775;198;24;0;63;344
2023/07/26;13:05:00;910144;732166;21.760;199;25;0;62;-86
2023/07/26;13:10:00;909560;731789;21.747;198;25;0;58;-73
