Year,Month,Day,Hour,Minute,PM1,PM2.5,PM10, lon, lat
2023.00,7.00000,26.0000,0.00000,4.00000,0.253521,0.690141,1.21127,-68.1464,-16.4840
2023.00,7.00000,26.0000,0.00000,19.0000,0.0845070,0.591549,2.14085,-68.1464,-16.4840
2023.00,7.00000,26.0000,0.00000,34.0000,0.0,0.422535,0.845070,-68.1464,-16.4840
2023.00,7.00000,26.0000,0.00000,49.0000,0.884058,2.31884,2.31884,-68.1464,-16.4840
2023.00,7.00000,26.0000,1.00000,4.00000,0.704225,1.28169,1.80282,-68.1464,-16.4840
2023.00,7.00000,26.0000,1.00000,19.0000,1.09677,2.85484,2.85484,-68.1464,-16.4840
2023.00,7.00000,26.0000,1.00000,34.0000,3.84615,6.80769,7.61538,-68.1464,-16.4840
2023.00,7.00000,26.0000,1.00000,49.0000,2.13043,2.95652,3.91304,-68.1464,-16.4840
2023.00,7.00000,26.0000,2.00000,4.00000,0.873239,1.73239,1.73239,-68.1464,-16.4840
2023.00,7.00000,26.0000,2.00000,19.0000,0.0845070,0.830986,1.67606,-68.1464,-16.4840
2023.00,7.00000,26.0000,2.00000,34.0000,0.692308,1.78462,2.00000,-68.1464,-16.4840
2023.00,7.00000,26.0000,2.00000,49.0000,0.957747,1.70423,1.91549,-68.1464,-16.4840
2023.00,7.00000,26.0000,3.00000,4.00000,0.0,0.929577,1.67606,-68.1464,-16.4840
2023.00,7.00000,26.0000,3.00000,19.0000,0.0845070,0.676056,1.38028,-68.1464,-16.4840
2023.00,7.00000,26.0000,3.00000,34.0000,0.422535,0.957747,0.957747,-68.1464,-16.4840
2023.00,7.00000,26.0000,3.00000,49.0000,0.591549,1.52113,3.42254,-68.1464,-16.4840
2023.00,7.00000,26.0000,4.00000,4.00000,2.89655,3.44828,3.72414,-68.1464,-16.4840
2023.00,7.00000,26.0000,4.00000,19.0000,0.773585,1.96226,1.96226,-68.1464,-16.4840
2023.00,7.00000,26.0000,4.00000,34.0000,1.19608,2.25490,2.41176,-68.1464,-16.4840
2023.00,7.00000,26.0000,4.00000,49.0000,3.50000,4.58333,4.70833,-68.1464,-16.4840
2023.00,7.00000,26.0000,5.00000,4.00000,4.47826,7.04348,7.65217,-68.1464,-16.4840
2023.00,7.00000,26.0000,5.00000,19.0000,5.84000,8.08000,8.76000,-68.1464,-16.4840
2023.00,7.00000,26.0000,5.00000,34.0000,2.11538,3.11538,3.84615,-68.1464,-16.4840
2023.00,7.00000,26.0000,5.00000,49.0000,4.87500,7.45833,8.25000,-68.1464,-16.4840
2023.00,7.00000,26.0000,6.00000,4.00000,6.73077,9.38461,9.38461,-68.1464,-16.4840
2023.00,7.00000,26.0000,6.00000,19.0000,7.62857,12.2571,12.8286,-68.1464,-16.4840
2023.00,7.00000,26.0000,6.00000,34.0000,13.2963,18.8519,19.3333,-68.1464,-16.4840
2023.00,7.00000,26.0000,6.00000,49.0000,14.3235,21.0882,23.7353,-68.1464,-16.4840
2023.00,7.00000,26.0000,7.00000,4.00000,14.5000,20.4375,21.3438,-68.1464,-16.4840
2023.00,7.00000,26.0000,7.00000,19.0000,28.2391,41.6087,50.4783,-68.1464,-16.4840
2023.00,7.00000,26.0000,7.00000,34.0000,12.0256,19.3333,20.6410,-68.1464,-16.4840
2023.00,7.00000,26.0000,7.00000,49.0000,8.68000,10.4800,12.6800,-68.1464,-16.4840
2023.00,7.00000,26.0000,8.00000,4.00000,13.6897,18.0690,18.7931,-68.1464,-16.4840
2023.00,7.00000,26.0000,8.00000,19.0000,13.7714,18.9143,20.1714,-68.1464,-16.4840
2023.00,7.00000,26.0000,8.00000,34.0000,5.07407,7.51852,8.07407,-68.1464,-16.4840
2023.00,7.00000,26.0000,8.00000,49.0000,0.490566,1.62264,2.47170,-68.1464,-16.4840
2023.00,7.00000,26.0000,9.00000,4.00000,6.17857,9.28571,13.2857,-68.1464,-16.4840
2023.00,7.00000,26.0000,9.00000,19.0000,3.90909,7.42424,8.60606,-68.1464,-16.4840
2023.00,7.00000,26.0000,9.00000,34.0000,6.46154,9.38461,10.7308,-68.1464,-16.4840
2023.00,7.00000,26.0000,9.00000,49.0000,4.55556,6.29630,6.29630,-68.1464,-16.4840
2023.00,7.00000,26.0000,10.0000,4.00000,3.80769,6.61538,8.42308,-68.1464,-16.4840
2023.00,7.00000,26.0000,10.0000,19.0000,2.92000,5.72000,7.32000,-68.1464,-16.4840
2023.00,7.00000,26.0000,10.0000,34.0000,2.07500,5.85000,5.85000,-68.1464,-16.4840
2023.00,7.00000,26.0000,10.0000,49.0000,2.93103,4.86207,5.34483,-68.1464,-16.4840
2023.00,7.00000,26.0000,11.0000,4.00000,0.903226,2.19355,2.74194,-68.1464,-16.4840
2023.00,7.00000,26.0000,11.0000,19.0000,0.462963,1.22222,1.64815,-68.1464,-16.4840
2023.00,7.00000,26.0000,11.0000,34.0000,0.0,0.0,0.0,-68.1464,-16.4840
2023.00,7.00000,26.0000,11.0000,49.0000,0.0,0.253521,0.676056,-68.1464,-16.4840
2023.00,7.00000,26.0000,12.0000,4.00000,0.0,0.0,0.577465,-68.1464,-16.4840
2023.00,7.00000,26.0000,12.0000,19.0000,0.0,0.0,0.591549,-68.1464,-16.4840
2023.00,7.00000,26.0000,12.0000,34.0000,0.0,0.0140845,0.450704,-68.1464,-16.4840
2023.00,7.00000,26.0000,12.0000,49.0000,0.0,0.197183,0.197183,-68.1464,-16.4840
2023.00,7.00000,26.0000,13.0000,4.00000,0.0,0.154930,0.915493,-68.1464,-16.4840
2023.00,7.00000,26.0000,13.0000,19.0000,0.0,0.0,0.380282,-68.1464,-16.4840
2023.00,7.00000,26.0000,13.0000,34.0000,0.0,0.0,0.0,-68.1464,-16.4840
2023.00,7.00000,26.0000,13.0000,49.0000,0.0,0.0,0.0,-68.1464,-16.4840
2023.00,7.00000,26.0000,14.0000,4.00000,0.0,0.0422535,0.563380,-68.1464,-16.4840
2023.00,7.00000,26.0000,14.0000,19.0000,0.0,0.380282,0.380282,-68.1464,-16.4840
2023.00,7.00000,26.0000,14.0000,34.0000,0.0,0.0,0.0,-68.1464,-16.4840
2023.00,7.00000,26.0000,14.0000,49.0000,0.0,0.0,0.0,-68.1464,-16.4840
2023.00,7.00000,26.0000,15.0000,4.00000,0.0,0.0,0.0,-68.1464,-16.4840
2023.00,7.00000,26.0000,15.0000,19.0000,0.0,0.0,0.0,-68.1464,-16.4840
2023.00,7.00000,26.0000,15.0000,34.0000,0.0,0.0704225,0.0704225,-68.1464,-16.4840
2023.00,7.00000,26.0000,15.0000,49.0000,5.77778,14.7407,22.5370,-68.1464,-16.4840
2023.00,7.00000,26.0000,16.0000,4.00000,0.0140845,0.591549,0.845070,-68.1464,-16.4840
2023.00,7.00000,26.0000,16.0000,19.0000,0.0,0.253521,0.253521,-68.1464,-16.4840
2023.00,7.00000,26.0000,16.0000,34.0000,0.0,0.0,0.0,-68.1464,-16.4840
2023.00,7.00000,26.0000,16.0000,49.0000,0.0,0.239437,0.239437,-68.1464,-16.4840
2023.00,7.00000,26.0000,17.0000,4.00000,0.0,0.0563380,0.309859,-68.1464,-16.4840
2023.00,7.00000,26.0000,17.0000,19.0000,0.730769,1.38462,1.38462,-68.1464,-16.4840
