		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
25/07/23	0:05	4.4	4.6	4.4	15	-20.0	2.2	NW	0.67	3.6	NW	2.5	3.3	1.4	667.3	0.00	0.0	0.048	0.000	19.9	20	-3.7	17.2	4.55	 .7880	90	4	85.7	5
25/07/23	0:10	4.3	4.4	4.3	15	-20.2	1.3	NW	0.40	3.1	NW	3.3	3.2	2.2	667.4	0.00	0.0	0.049	0.000	19.9	20	-3.7	17.2	4.55	 .7881	56	4	53.3	5
25/07/23	0:15	4.2	4.3	4.2	16	-19.4	0.9	NW	0.27	2.7	NW	4.1	3.2	3.0	667.4	0.00	0.0	0.049	0.000	19.9	20	-3.7	17.2	4.55	 .7881	101	4	96.2	5
25/07/23	0:20	4.2	4.2	4.2	16	-19.4	1.3	NW	0.40	3.1	WNW	3.3	3.2	2.2	667.4	0.00	0.0	0.049	0.000	19.9	20	-3.7	17.2	4.55	 .7882	99	4	94.3	5
25/07/23	0:25	4.3	4.3	4.2	15	-20.2	1.3	NNW	0.40	3.1	NW	3.3	3.2	2.2	667.4	0.00	0.0	0.049	0.000	19.9	20	-3.7	17.2	4.55	 .7881	100	4	95.2	5
25/07/23	0:30	4.2	4.3	4.2	15	-20.2	1.3	NNW	0.40	3.6	NNW	3.3	3.1	2.2	667.3	0.00	0.0	0.049	0.000	19.8	20	-3.8	17.1	4.55	 .7883	102	4	97.1	5
25/07/23	0:35	4.1	4.2	4.1	16	-19.5	1.3	NW	0.40	3.6	NW	3.2	3.1	2.1	667.3	0.00	0.0	0.049	0.000	19.8	20	-3.8	17.1	4.55	 .7883	101	4	96.2	5
25/07/23	0:40	4.0	4.1	4.0	16	-19.6	1.8	NW	0.54	3.6	NNW	2.4	2.9	1.4	667.2	0.00	0.0	0.050	0.000	19.8	19	-4.5	17.0	4.35	 .7885	100	4	95.2	5
25/07/23	0:45	3.9	4.0	3.9	16	-19.7	1.3	NNW	0.40	3.1	NNW	2.9	2.8	1.8	667.1	0.00	0.0	0.050	0.000	19.7	20	-3.9	16.9	4.55	 .7885	103	4	98.1	5
25/07/23	0:50	3.8	3.9	3.8	16	-19.8	1.3	NW	0.40	3.6	NW	2.8	2.7	1.7	667.1	0.00	0.0	0.051	0.000	19.7	20	-3.9	16.9	4.55	 .7884	103	4	98.1	5
25/07/23	0:55	3.8	3.8	3.8	16	-19.8	1.8	NW	0.54	4.5	NW	2.2	2.7	1.1	667.1	0.00	0.0	0.051	0.000	19.7	19	-4.6	16.9	4.35	 .7887	99	4	94.3	5
25/07/23	1:00	3.8	3.8	3.8	16	-19.8	1.8	NW	0.54	4.5	NNW	2.2	2.7	1.1	667.1	0.00	0.0	0.051	0.000	19.7	19	-4.6	16.9	4.35	 .7887	102	4	97.1	5
25/07/23	1:05	3.7	3.8	3.7	16	-19.9	1.8	NW	0.54	3.6	NNW	2.1	2.7	1.1	666.9	0.00	0.0	0.051	0.000	19.7	19	-4.6	16.9	4.35	 .7885	102	4	97.1	5
25/07/23	1:10	3.6	3.7	3.6	16	-20.0	1.8	NW	0.54	4.0	NW	1.9	2.6	0.9	666.8	0.00	0.0	0.051	0.000	19.7	19	-4.6	16.8	4.35	 .7886	99	4	94.3	5
25/07/23	1:15	3.5	3.6	3.4	16	-20.0	1.8	NW	0.54	4.9	NW	1.9	2.5	0.9	666.8	0.00	0.0	0.052	0.000	19.7	20	-3.9	16.9	4.55	 .7883	99	4	94.3	5
25/07/23	1:20	3.4	3.5	3.4	16	-20.1	1.8	NW	0.54	4.5	WNW	1.8	2.4	0.8	666.8	0.00	0.0	0.052	0.000	19.7	20	-3.9	16.9	4.55	 .7882	100	4	95.2	5
25/07/23	1:25	3.5	3.5	3.4	16	-20.0	1.8	NW	0.54	4.0	NW	1.9	2.5	0.9	666.7	0.00	0.0	0.052	0.000	19.7	20	-3.9	16.9	4.55	 .7881	98	4	93.3	5
25/07/23	1:30	3.5	3.5	3.4	16	-20.0	2.2	NW	0.67	4.5	WNW	1.4	2.5	0.4	666.7	0.00	0.0	0.052	0.000	19.7	20	-3.9	16.9	4.55	 .7881	99	4	94.3	5
25/07/23	1:35	3.4	3.5	3.4	16	-20.1	1.8	NW	0.54	4.0	NW	1.8	2.4	0.8	666.8	0.00	0.0	0.052	0.000	19.7	20	-3.9	16.9	4.55	 .7882	101	4	96.2	5
25/07/23	1:40	3.4	3.4	3.4	15	-20.9	2.7	NW	0.80	4.5	WNW	0.8	2.4	-0.2	666.7	0.00	0.0	0.052	0.000	19.7	20	-3.9	16.9	4.55	 .7881	100	4	95.2	5
25/07/23	1:45	3.3	3.4	3.3	16	-20.2	2.2	NW	0.67	4.9	NW	1.2	2.3	0.2	666.6	0.00	0.0	0.052	0.000	19.6	20	-4.0	16.7	4.55	 .7884	98	4	93.3	5
25/07/23	1:50	3.3	3.3	3.3	15	-21.0	2.2	NW	0.67	4.5	NW	1.1	2.3	0.1	666.5	0.00	0.0	0.052	0.000	19.6	20	-4.0	16.7	4.55	 .7883	99	4	94.3	5
